region,district,town,address,station_num,station_code,total_const,received_ballot,voted_total,voted_early,early_perc,voted_home,voted_at_station,dmitr,kanop,luka,luka_perc,tikha,tikha_perc,chere,against_all,invalid_ballots,received_by_comission,damaged_ballots,unused_ballots
Витебская,Полоцкий,Полоцк,"ул.Гагарина, д.138, отдел инновационного и технического творчества государственного учреждения дополнительного образования «Полоцкий районный центр детей и молодежи» здание бывшей СШ № 13.",20,02-076-0020,1684,1436,1436,787,46.73396674584323,48,601,4,9,1205,83.91364902506963,181,12.604456824512535,5,32,NA,NA,NA,NA
Витебская,Полоцкий,Полоцк,"ул.Мариненко, д.42, библиотека им. Я.Купалы — филиал № 3 государственного учреждения культуры «Полоцкая районная централизованная библиотечная система».",25,02-076-0025,1527,1298,1298,332,21.74197773411919,130,836,16,14,1099,84.66872110939909,96,7.395993836671804,25,43,5,1605,NA,307
Витебская,Полоцкий,аг.Гомель,"аг.Гомель, ул.Тябута Д.В., д.14, Гомельский сельский Дом культуры государственного учреждения культуры «Полоцкий районный Центр культуры».",39,02-076-0039,467,441,441,213,45.610278372591004,126,102,5,4,369,83.6734693877551,51,11.564625850340136,4,7,1,490,NA,49
Витебская,Полоцкий,аг.Заозерье,"аг.Заозерье, ул.Центральная, д.27, Заозерский сельский Дом культуры государственного учреждения культуры «Полоцкий районный Центр культуры».",40,02-076-0040,511,477,477,224,43.83561643835616,154,99,5,4,399,83.64779874213836,57,11.949685534591195,2,8,2,537,NA,60
Витебская,Поставский,Поставы,"Поставы, ул. Ленинская, д. 139Б, помещение государственного учреждения образования далее — ГУО «Базовая школа № 5 г. Поставы».",1,02-077-0001,1416,1306,1306,431,30.43785310734463,143,732,23,8,754,57.733537519142416,402,30.781010719754974,39,71,9,1440,0,134
Витебская,Поставский,Поставы,"Поставы, ул. Пионерская, д. 11, помещение ГУО «Средняя школа № 2 г. Поставы».",6,02-077-0006,1895,1465,1465,345,18.20580474934037,133,987,13,11,1072,73.17406143344711,322,21.97952218430034,12,35,NA,NA,NA,NA
Витебская,Поставский,Поставы,"Поставы, ул. Советская, д. 83, помещение отделения для граждан пожилого возраста г. Поставы государственного учреждения «Поставский территориальный центр социального обслуживания населения».",7,02-077-0007,1422,1056,1056,710,49.929676511954995,32,314,14,10,813,76.98863636363636,187,17.708333333333336,11,21,NA,NA,NA,NA
Витебская,Поставский,Поставы,"Поставы, ул. Станкевича, д. 15А, помещение районного Дома культуры.",8,02-077-0008,2784,2177,2175,730,26.221264367816094,106,1339,38,17,1503,69.10344827586206,480,22.06896551724138,46,46,45,2890,NA,613
Витебская,Поставский,г.п. Лынтупы,"г.п. Лынтупы, ул. Голубкова, д. 44А, помещение Лынтупского сельского исполнительного комитета.",16,02-077-0016,1346,1117,1117,316,23.476968796433876,272,529,43,15,624,55.863921217546995,351,31.423455684870188,29,55,NA,NA,NA,NA
Витебская,Поставский,г.п. Воропаево,"г.п. Воропаево, ул. Ленинская, д. 127, помещение Воропаевского сельского исполнительного комитета.",19,02-077-0019,1203,999,999,320,26.60016625103907,132,547,32,15,389,38.93893893893894,475,47.547547547547545,27,61,NA,NA,NA,NA
Витебская,Россонский,аг. Краснополье,"аг. Краснополье, ул. Франциска Скорины, 15, помещение Государственного учреждения образования «Краснопольская детский сад - средняя школа Россонского района»",8,02-078-0008,806,730,730,273,33.87096774193548,272,185,6,9,663,90.82191780821918,27,3.6986301369863015,9,16,NA,NA,NA,NA
Витебская,Ушачский,г.п. Ушачи,"г.п. Ушачи, ул. Ленинская, д. 12, помещение районного исполнительного комитета.",1,02-081-0001,2020,1493,1493,479,23.712871287128714,27,987,45,24,521,34.89618218352311,721,48.29202947086404,32,134,16,2110,NA,617
Витебская,Чашникский,г. Новолукомль,"г. Новолукомль, улица Панчука, 3, здание государственного учреждения образования «Средняя школа № 2 г.Новолукомля».",20,02-082-0020,2965,2919,2919,1361,45.90219224283305,37,1521,70,41,1439,49.29770469338814,1027,35.183281945871876,79,240,23,2957,1,37
Витебская,Витебский,аг.Вороны,"аг.Вороны, аг.Вороны, ул.Ленинская, 36,  помещение Вороновского сельского исполнительного комитета",5,02-143-0005,1053,899,899,326,30.959164292497626,302,271,19,10,451,50.16685205784205,331,36.818687430478306,13,NA,NA,1105,11,206
Витебская,Витебский,аг.Зароново,"аг.Зароново, аг.Зароново, ул.Приозерная, 2, помещение государственного учреждения культуры «Зароновский сельский дом культуры»",8,02-143-0008,373,312,312,98,26.273458445040216,63,151,2,4,232,74.35897435897436,62,19.871794871794872,2,10,NA,NA,NA,NA
Витебская,Витебский,д.Пестуница,"д.Пестуница, д.Пестуница, ул.Коммунистическая, 5, помещение государственного учреждения культуры «Пестуницкая сельская библиотека-клуб»",9,02-143-0009,507,460,460,93,18.34319526627219,202,165,2,18,341,74.1304347826087,92,20,2,5,NA,539,NA,79
Витебская,Витебский,д.Лужесно,"д.Лужесно, д.Лужесно, ул. Спортивная, 3А, помещение аграрного колледжа учреждения образования «Витебская Ордена «Знак почета» государственная академия ветеринарной медицины»",16,02-143-0016,1525,1296,1296,358,23.475409836065573,135,803,38,23,591,45.601851851851855,531,40.97222222222222,28,85,NA,1564,NA,268
Витебская,Витебский,аг.Новка,"аг.Новка, аг.Новка, ул.Центральная, 1, помещение государственного учреждения культуры «Витебский районный центр культуры и творчества»",19,02-143-0019,2377,1946,1946,736,30.963399242742955,98,1112,36,25,957,49.177800616649535,764,39.26002055498458,40,124,NA,NA,NA,NA
Витебская,Витебский,аг.Октябрьская,"аг.Октябрьская, аг.Октябрьская, ул.Октябрьская, 8,  помещение государственного учреждения образования «Октябрьская средняя школа Витебского района»",22,02-143-0022,2486,1787,1787,494,19.87127916331456,308,984,59,15,1063,59.48517067711248,470,26.30106323447118,79,101,NA,NA,NA,NA
